id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low
182756,MEX-2010-2-414-786,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"AP 24 July 2010 ""51 dead found at suspected drug-gang dumping ground in northern Mexico"" /AFP 25 July 2010 ""51 bodies found in mass graves in Mexico",,,,attorney general of Nuevo Leon state,2,Monterrey town,"Monterrey town (outside), Nuevo Leon",Nuevo León state,Monterrey municipality,25.675065,-100.318465,POINT (-100.318465 25.675065),166480,Mexico,70,Americas,2,5,2010-01-01T00:00:00,2010-07-10T00:00:00,0,0,0,51,51,51,51
182757,MEX-2010-2-414-788,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 16 Aug 2010 ""Police confirm Mexican mayor is missing",,,,,1,Monterrey town,"Monterrey metropolitan area, Nuevo Leon",Nuevo León state,Monterrey municipality,25.675065,-100.318465,POINT (-100.318465 25.675065),166480,Mexico,70,Americas,1,2,2010-08-13T00:00:00,2010-08-15T00:00:00,0,0,0,3,3,3,3
182758,MEX-2010-2-414-790,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 6 Oct 2010 ""Soldiers free 14 kidnapped in northern Mexico",,,,Officials,1,Monterrey town,"Monterrey town, Nuevo Leon",Nuevo León state,Monterrey municipality,25.675065,-100.318465,POINT (-100.318465 25.675065),166480,Mexico,70,Americas,1,1,2010-10-05T00:00:00,2010-10-05T00:00:00,0,0,0,1,1,1,1
182759,MEX-2010-2-414-792,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 10 Nov 2010 ""2 Men gunned down while playing soccer in northern Mexico",,,,Police spokesman,1,Guadalupe town,"Guadalupe town, Nuevo Leon",Nuevo León state,Guadalupe municipality,25.67678,-100.25646,POINT (-100.256460 25.676780),166480,Mexico,70,Americas,1,1,2010-11-09T00:00:00,2010-11-09T00:00:00,0,0,0,2,2,2,2
183086,MEX-2011-2-462-1121,2011,True,Clear,2,2-462,4980,Cartel Independiente de Acapulco - La Barredora,462,5590,Cartel Independiente de Acapulco - La Barredora,2037,1152,Cartel Independiente de Acapulco,2038,1153,La Barredora,-1,"EFE 20 Aug 2011 ""Gas stations in Mexican resort city protest extortion",,,,,1,Acapulco town,"Acapulco town, Guerrrero",Guerrero state,Acapulco de Juárez municipality,16.856933,-99.901496,POINT (-99.901496 16.856933),153521,Mexico,70,Americas,2,4,2011-07-30T00:00:00,2011-08-20T00:00:00,0,0,0,87,87,87,0
182760,MEX-2010-2-414-793,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 1 Feb 2010 ""Death toll from massacre in Mexican border city rises to 15",,,,,1,Torreón town,"Torreon town, Coahuila",Coahuila state,Torreón municipality,25.54333,-103.417605,POINT (-103.417605 25.543330),166474,Mexico,70,Americas,1,2,2010-01-29T00:00:00,2010-01-31T00:00:00,0,0,0,10,10,10,10
182762,MEX-2010-2-414-795,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"AP 16 May 2010 ""Gunmen open fire at bar in northern Mexico killing 8, wounding 20",,,,Coahuila state prosecutors,1,Torreón town,"Torreon town, Coahuila",Coahuila state,Torreón municipality,25.54333,-103.417605,POINT (-103.417605 25.543330),166474,Mexico,70,Americas,1,1,2010-05-15T00:00:00,2010-05-15T00:00:00,0,0,0,8,8,8,8
182763,MEX-2010-2-414-796,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 18 July 2010 ""Gunmen kill 17 attending party in northern Mexico",,,,Attorney General's Office spokesman,1,San Luis village,"San Luis village (near the city of Torreon), Coahuila",Durango state,San Pedro municipality,25.79213,-103.10585,POINT (-103.105850 25.792130),166474,Mexico,70,Americas,1,1,2010-07-18T00:00:00,2010-07-18T00:00:00,0,0,0,17,17,17,17
182764,MEX-2010-2-414-797,2010,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,-1,"EFE 17 May 2010 ""44 Die in violent weekend in northern Mexico",,,,Officials,1,Lerdo town,"Ciudad Lerdo town, Durango",Durango state,Lerdo municipality,25.535383,-103.525242,POINT (-103.525242 25.535383),166473,Mexico,70,Americas,1,1,2010-05-16T00:00:00,2010-05-16T00:00:00,0,0,0,4,4,4,4
182768,MEX-2010-2-415-805,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 21 Jan 2010 ""7 Die in drug-related violence in Mexico",,,,Police spokesman,1,Quechultenango town,"Quechultenango town, Guerrero",Guerrero state,Quechultenango municipality,17.41222,-99.24321,POINT (-99.243210 17.412220),154242,Mexico,70,Americas,1,1,2010-01-19T00:00:00,2010-01-19T00:00:00,0,0,0,3,3,3,3
